時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2023-03-06 17:53:27.300,1,82019C41,No Relay,9,168,2980,1
2023-03-06 17:53:29.746,1,82019C41,No Relay,10,195,2980,1
2023-03-06 17:53:32.988,1,82019DEE,No Relay,1,219,3190,1
2023-03-06 17:53:35.147,1,82019C41,No Relay,12,177,2980,1
2023-03-06 17:53:35.689,1,82019DEE,No Relay,2,210,3190,1
2023-03-06 17:53:37.622,1,82019C41,No Relay,13,162,2980,1
2023-03-06 17:53:38.502,1,82019DEE,No Relay,3,207,3190,1
2023-03-06 17:53:40.069,1,82019C41,No Relay,14,165,2980,1
2023-03-06 17:53:45.405,1,82019C41,No Relay,16,168,2980,1
2023-03-06 17:53:45.597,1,82019A14,No Relay,1,168,3180,1
2023-03-06 17:53:46.523,1,82019DEE,No Relay,6,210,3200,1
2023-03-06 17:53:48.058,1,82019A14,No Relay,2,165,3180,1
2023-03-06 17:53:48.250,1,82019C41,No Relay,17,147,2980,1
2023-03-06 17:53:50.840,1,82019A14,No Relay,3,168,3180,1
2023-03-06 17:53:51.046,1,8201A0FF,No Relay,1,147,2940,1
2023-03-06 17:53:51.653,1,82019DEE,No Relay,8,210,3200,1
2023-03-06 17:53:53.251,1,8201A0FF,No Relay,2,141,2950,1
2023-03-06 17:53:53.746,1,82019A14,No Relay,4,162,3180,1
2023-03-06 17:53:54.929,1,820198F4,No Relay,1,99,2980,1
2023-03-06 17:53:55.730,1,8201A0FF,No Relay,3,150,2950,1
2023-03-06 17:53:56.192,1,82019A14,No Relay,5,171,3190,1
2023-03-06 17:53:56.399,1,82019C41,No Relay,20,177,2980,1
2023-03-06 17:53:57.726,1,820198F4,No Relay,2,174,2980,1
2023-03-06 17:53:58.189,1,8201A0FF,No Relay,4,138,2950,1
2023-03-06 17:53:58.670,1,82019A14,No Relay,6,195,3180,1
2023-03-06 17:53:58.861,1,82019C41,No Relay,21,168,2980,1
2023-03-06 17:53:59.356,1,82019DEE,No Relay,11,195,3200,1
2023-03-06 17:54:00.843,1,8201A0FF,No Relay,5,135,2950,1
2023-03-06 17:54:01.433,1,82019A14,No Relay,7,201,3180,1
2023-03-06 17:54:01.625,1,82019C41,No Relay,22,144,2980,1
2023-03-06 17:54:01.929,1,82019DEE,No Relay,12,186,3200,1
2023-03-06 17:54:02.553,1,82019C19,No Relay,1,201,2600,1
2023-03-06 17:54:03.271,1,820198F4,No Relay,4,168,2980,1
2023-03-06 17:54:03.463,1,8201A0FF,No Relay,6,132,2950,1
2023-03-06 17:54:03.942,1,82019C41,No Relay,23,174,2980,1
2023-03-06 17:54:04.646,1,82019DEE,No Relay,13,183,3200,1
2023-03-06 17:54:05.125,1,82019C19,No Relay,2,150,2610,1
